id,date,channel,customer_type,content,keyword_hint
046,2026-07-01,이메일,OEM,6월 배출량 보고서를 검토 중인데 철강 원자재 Scope 3 배출계수 값이 내부 계산과 약 18% 차이가 납니다. 지난달에도 비슷한 문제가 있었는데 아직 수정이 안 된 건가요?,"Scope3, 배출계수, 계산오류"
047,2026-07-02,채널톡,1차 협력사,CBAM과 CSRD 보고서를 따로 만들고 있는데 기초 데이터가 겹치는 부분이 많습니다. 하나의 데이터 입력으로 두 보고서를 동시에 생성할 수 있는 기능을 요청드립니다.,"CBAM, CSRD, 보고서자동화"
048,2026-07-03,이메일,2차 협력사,CBAM 인증서를 구매한 후 EU 측에 제출하는 정확한 절차가 궁금합니다. 올해 첫 신고를 마쳤는데 다음 단계가 무엇인지 안내 부탁드립니다.,"CBAM, 인증서, 제출절차"
049,2026-07-04,이메일,OEM,CSRD 의무 대응 일정을 카본링크 내에서 자동으로 알려주는 기능이 있으면 좋겠습니다. 어떤 규제에 언제 대응해야 하는지 플랫폼에서 트래킹하고 싶습니다.,"CSRD, 규제일정, 알림"
050,2026-07-04,채널톡,1차 협력사,지난번 데이터 연동 오류 건을 빠르게 해결해 주셔서 감사합니다. 담당자분이 당일 바로 연락 주셔서 업무에 지장이 없었습니다.,"CS대응, 연동오류"
051,2026-07-05,이메일,OEM,분기별 탄소 보고서를 매번 수동으로 포맷팅하는 데 시간이 많이 걸립니다. Word 또는 PDF 형식으로 자동 출력되는 기능을 추가해 주실 수 있나요?,"보고서자동화, PDF, 분기"
052,2026/07/05,채널톡,2차 협력사,CBAM 5월 신고는 완료했는데 하반기에 추가로 제출해야 할 서류나 갱신 사항이 있는지 확인하고 싶습니다.,"CBAM, 하반기, 신고일정"
053,2026-07-06,이메일,1차 협력사,카본링크 도입 이후 협력사 데이터 수집 시간이 절반으로 줄었습니다. 자동 집계 기능이 실무에 정말 큰 도움이 됩니다.,"자동화, 업무효율, 협력사"
054,2026-07-07,이메일,OEM,코스피 상장사 ESG 공시 의무화 대응 시 카본링크에서 어떤 데이터를 준비하고 어떤 형식으로 출력할 수 있는지 안내 부탁드립니다.,"ESG공시, 코스피, 국내규제"
055,2026-07-07,채널톡,1차 협력사,협력사 배출량 데이터 엑셀 일괄 내보내기 시 50개 이상은 한 번에 처리가 안 된다는 오류가 납니다. 처리 한도를 늘려주세요.,"내보내기, 일괄처리, 기능제한"
056,2026-07-08,이메일,OEM,TCFD·CSRD·GRI 세 가지 프레임워크를 동시에 대응 중인데 데이터를 따로 입력하는 것이 너무 비효율적입니다. 통합 입력 후 각 프레임워크 형식으로 자동 변환되는 기능을 요청드립니다.,"TCFD, CSRD, GRI, 통합보고"
057,2026-07-09,채널톡,1차 협력사,CSRD 보고에서 이중 중요성 평가(Double Materiality Assessment) 수행이 필수인지, 카본링크 내에서 지원이 가능한지 문의드립니다.,"CSRD, 이중중요성, DMA"
058,2026-07-09,이메일,2차 협력사,로그인 후 대시보드가 로딩 중에 멈추는 현상이 어제부터 반복되고 있습니다. 크롬과 엣지 모두 동일합니다.,"로그인, 대시보드, 로딩오류"
059,2026-07-10,이메일,OEM,CSRD 기준 Scope 3 카테고리 15(투자) 항목이 우리 업종에 해당되는지 어떻게 계산해야 하는지 가이드가 필요합니다.,"CSRD, Scope3, 카테고리15"
060,2026-07-10,채널톡,1차 협력사,CSRD 대응 항목별 진행 상황을 체크리스트로 관리할 수 있는 기능을 요청드립니다. 어떤 항목을 완료했고 무엇이 남았는지 트래킹하고 싶습니다.,"CSRD, 체크리스트, 진행관리"
061,7월 11일,이메일,OEM,이번 분기 탄소 보고서를 카본링크로 완성했는데 이전 대비 작업 시간이 40% 줄었습니다. 협력사 데이터 자동 수집 기능 덕분입니다.,"업무효율, 시간단축, 협력사"
062,2026-07-12,이메일,2차 협력사,K-ETS 배출권거래제 할당량 계산 시 카본링크 데이터를 어떻게 활용할 수 있는지 문의드립니다.,"K-ETS, 배출권거래제, 할당량"
063,2026-07-12,채널톡,1차 협력사,협력사 5개사와 배출량 데이터를 실시간으로 공유하고 싶습니다. 현재는 CSV를 내보내 이메일로 전송 중인데 자동 공유 기능이 필요합니다.,"데이터공유, 실시간, 협력사"
064,2026-07-13,이메일,OEM,신규 직원 사용법 문의 시 CS팀에서 화상 미팅까지 잡아주셔서 큰 도움이 됐습니다. 온보딩 지원이 정말 인상적이었습니다.,"CS대응, 온보딩, 화상미팅"
065,2026-07-14,채널톡,1차 협력사,CBAM 전환 기간이 끝난 것으로 알고 있는데 하반기에 추가 제출 사항이나 인증서 갱신이 필요한지 확인하고 싶습니다.,"CBAM, 전환기간, 하반기"
066,2026-07-14,이메일,2차 협력사,어제부터 ERP 시스템 연동 API가 작동하지 않습니다. 에너지 사용량 데이터가 자동으로 들어오지 않아 수동 입력하는 상황입니다.,"API, ERP연동, 자동입력"
067,2026-07-15,이메일,OEM,7월 배출량 데이터를 검토하는 중인데 전기 사용분 Scope 2 수치가 내부 계산 대비 약 22% 낮게 나옵니다. 배출계수가 최신 기준으로 반영된 것이 맞는지 확인 부탁드립니다.,"Scope2, 배출계수, 계산오류"
068,2026-07-16,이메일,1차 협력사,철강 구매 관련 Scope 3 카테고리 1 수치가 3개월째 내부 계산과 지속적으로 차이가 납니다. IPCC 6차 보고서 기준 GWP 값이 제대로 반영된 것이 맞나요?,"Scope3, GWP, IPCC6차, 계산오류"
069,2026-07-16,채널톡,2차 협력사,카본링크에서 산출한 배출량 데이터를 OEM 고객사에 제출했는데 고객사 자체 검증에서 수치가 다르다며 반려됐습니다. 배출계수 기준이 최신 버전인지 확인이 필요합니다.,"계산오류, 배출계수, OEM반려"
070,2026-07-17,이메일,OEM,Scope 3 상류 카테고리 계산 시 spend-based method와 activity-based method 중 어떤 방식이 CSRD 기준에 적합한지 알고 싶습니다.,"Scope3, 계산방법, CSRD"
071,2026-07-17,채널톡,1차 협력사,월별 배출량 추이를 자동으로 전월 대비 증감률과 함께 보여주는 리포트 기능이 있으면 좋겠습니다.,"월별추이, 자동리포트, 증감률"
072,2026-07-18,이메일,OEM,경영진 보고용 탄소 중립 달성률 대시보드가 필요합니다. 현재 배출량·목표 배출량·감축 진행률을 한 화면에서 볼 수 있는 뷰를 요청드립니다.,"대시보드, 탄소중립, 경영진보고"
073,2026-07-19,,1차 협력사,최근 UI 업데이트 이후 데이터 입력 화면이 훨씬 직관적으로 바뀌었습니다. 협력사별 데이터 현황 탭이 한눈에 들어와 편리합니다.,"UI개선, 사용성"
074,2026-07-20,채널톡,2차 협력사,중소기업 요금제에서 협력사 등록 수가 10개로 제한되어 있어 불편합니다. 최소 20개는 필요한데 상위 요금제는 비용 부담이 커서 요금제 조정이나 제한 완화를 요청드립니다.,"요금제, 협력사등록, 기능제한"
075,2026-07-21,이메일,OEM,CSRD 공시에서 가치사슬 배출량 범위가 어디까지인지 2차 협력사까지 포함해야 하는지 궁금합니다.,"CSRD, 가치사슬, 공시범위"
076,2026-07-21,채널톡,1차 협력사,EU CSRD와 국내 ESG 공시 기준 간 차이를 정리해 보여주는 비교 가이드 페이지가 플랫폼에 있으면 좋겠습니다.,"CSRD, ESG공시, 비교가이드"
077,2026-07-21,이메일,2차 협력사,녹색채권 발행 준비 중인데 카본링크 탄소 데이터가 검증 기관 제출 자료로 활용 가능한지 문의드립니다.,"녹색채권, 검증기관"
078,2026-07-22,채널톡,1차 협력사,어제부터 협력사 데이터 수집 요청 발송 시 전송 실패 오류가 계속 납니다. 현재 이메일로 수동 발송하고 있는 상황입니다.,"시스템오류, 데이터수집, 전송실패"
079,2026-07-23,이메일,2차 협력사,에너지 사용량 입력 시 kWh와 MWh 중 어떤 단위로 입력해야 하는지 단위 자동 변환이 되는지 알고 싶습니다.,"단위변환, kWh, 입력방법"
080,2026-07-23,채널톡,OEM,여러 사업장의 배출량을 통합한 그룹 레벨 보고서를 자동으로 생성하는 기능을 요청드립니다. 현재는 사업장별로 따로 뽑아 수동으로 합산하고 있습니다.,"그룹보고, 사업장통합, 자동화"
081,2026-07-24,이메일,1차 협력사,SBTi 감축 목표 설정을 검토 중입니다. 카본링크로 SBTi 기준에 맞는 감축 시나리오 분석이 가능한지 문의드립니다.,"SBTi, 감축목표, 시나리오"
082,2026-07-25,채널톡,2차 협력사,원자재 구매량은 있는데 배출계수를 어디서 가져와야 하는지 모르겠습니다. 카본링크에 배출계수 데이터베이스가 내장되어 있나요?,"배출계수, 데이터베이스, 입력방법"
083,2026-07-26,이메일,OEM,2027년부터 CSRD가 중소 상장사까지 확대될 예정인데 현재 요금제와 기능이 어떻게 달라지는지 미리 알고 싶습니다.,"CSRD2027, 중소상장사, 서비스로드맵"
084,2026-07-27,채널톡,1차 협력사,지난주 계산 문의를 드렸는데 담당자분이 바로 화상 미팅을 잡아 상세히 설명해 주셨습니다. 덕분에 내부 보고 기한을 맞출 수 있었습니다.,"CS대응, 화상미팅, 만족"
085,2026-07-28,이메일,2차 협력사,입력한 전력 사용 데이터를 저장 후 조회하면 수치가 다르게 표시됩니다. 소수점 처리 오류인지 원인 확인이 필요합니다.,"소수점오류, 데이터저장, 계산오류"
086,2026-07-29,채널톡,1차 협력사,감사(audit) 대응 시 외부 검증 기관에 임시 접근 권한을 부여하는 기능이 필요합니다. 현재는 계정 정보를 공유해야 해서 보안이 우려됩니다.,"외부검증, 접근권한, 감사대응"
087,2026-07-30,이메일,2차 협력사,협력사에서 받은 배출량 데이터 형식이 제각각인데 어떤 형식으로 입력해야 하는지 모르겠습니다. 데이터 입력 가이드가 있나요?,"데이터형식, 입력가이드, 사용법"
088,2026-07-31,이메일,OEM,OEM 입장에서 협력사별 탄소 감축 이행 현황을 실시간으로 모니터링할 수 있는 대시보드를 요청드립니다.,"대시보드, 협력사관리, 감축이행"
